id;comment_id;reported_by;reason;created_at
1;14;45;"Hate speech";2025-04-16 15:30:21
2;17;1;"Hate speech";2025-04-16 15:30:21
3;31;6;"Other";2025-04-16 15:30:21
4;35;37;"False information";2025-04-16 15:30:21
5;43;29;"Hate speech";2025-04-16 15:30:21
6;46;38;"Violence";2025-04-16 15:30:21
7;47;32;"Hate speech";2025-04-16 15:30:21
8;50;23;"Harassment";2025-04-16 15:30:21
9;51;2;"False information";2025-04-16 15:30:21
10;53;43;"Other";2025-04-16 15:30:21
11;58;6;"Harassment";2025-04-16 15:30:21
12;60;41;"Other";2025-04-16 15:30:21
13;68;31;"Harassment";2025-04-16 15:30:21
14;77;8;"Hate speech";2025-04-16 15:30:21
15;81;40;"Other";2025-04-16 15:30:21
16;85;16;"Other";2025-04-16 15:30:21
17;87;11;"Hate speech";2025-04-16 15:30:21
18;96;20;"False information";2025-04-16 15:30:21
19;101;43;"False information";2025-04-16 15:30:21
20;103;47;"False information";2025-04-16 15:30:21
21;108;40;"Spam";2025-04-16 15:30:21
22;121;21;"Other";2025-04-16 15:30:21
23;128;27;"Other";2025-04-16 15:30:21
24;135;5;"Harassment";2025-04-16 15:30:21
25;166;8;"Harassment";2025-04-16 15:30:21
26;172;5;"Hate speech";2025-04-16 15:30:21
27;175;45;"Violence";2025-04-16 15:30:21
28;177;11;"Hate speech";2025-04-16 15:30:21
29;179;13;"False information";2025-04-16 15:30:21
30;180;37;"Violence";2025-04-16 15:30:21
31;183;7;"Spam";2025-04-16 15:30:21
32;184;49;"False information";2025-04-16 15:30:21
33;187;28;"Violence";2025-04-16 15:30:21
34;190;50;"Harassment";2025-04-16 15:30:21
35;193;4;"Violence";2025-04-16 15:30:21
36;196;11;"False information";2025-04-16 15:30:21
37;200;7;"Hate speech";2025-04-16 15:30:21
38;207;22;"Spam";2025-04-16 15:30:21
39;208;8;"Violence";2025-04-16 15:30:21
